#data counter step time
5 1 0 0.0
4 2 1 0.0
3 3 3 0.0
2 4 6 0.0
1 5 8 0.0
0 6 9 0.0
0 7 172 261.827510824
0 8 222 325.240262924
0 9 272 407.759527581
0 10 322 484.727979029
0 11 372 573.681855267
0 12 422 650.077108109
0 13 472 757.01858378
0 14 522 830.580955935
0 15 572 925.568730224
0 16 622 1042.26182524
0 17 672 1156.40805178
0 18 722 1216.76721825
0 19 772 1271.63755633
0 20 822 1344.14508692
0 21 872 1429.61467683
0 22 922 1479.65610311
0 23 972 1569.58406343
0 24 1022 1667.68970012
0 25 1072 1756.54269407
0 26 1122 1842.95067237
0 27 1172 1922.03300774
0 28 1222 2037.34789907
0 29 1272 2116.25762961
0 30 1322 2179.59136494
0 31 1372 2280.93823195
0 32 1422 2366.22685084
0 33 1472 2481.28808025
0 34 1522 2555.68387469
0 35 1572 2627.41197455
0 36 1622 2708.60561703
0 37 1672 2779.12235317
0 38 1722 2852.59657605
0 39 1772 2945.26756162
0 40 2795 6630.64259285
0 41 2810 6653.64259285
1 42 2814 6653.64259285
2 43 2815 6653.64259285
3 44 2816 6653.64259285
4 45 2819 6653.64259285
5 46 2820 6653.64259285
4 47 2821 6844.59538454
3 48 2824 6848.78704654
2 49 2827 6850.06417818
1 50 2830 6850.83865696
0 51 2833 6853.98729262
0 52 4030 7519.83865696
