#data counter step time
22.459045 1 63 67.3309787278
23.724718 2 85 119.626703645
29.577072 3 108 157.63844895
28.916240 4 154 250.739907036
20.156628 5 181 273.497391199
35.071437 6 194 293.635884384
23.175177 7 200 302.626495548
24.155922 8 210 312.101313875
18.510997 9 211 313.612311173
17.212086 10 270 402.466393878
33.757080 11 283 419.223473896
26.175759 12 306 443.389979029
20.049204 13 307 448.597647528
37.236844 14 330 497.727979029
24.263664 15 332 503.548338604
20.113854 16 353 541.69417796
27.486128 17 411 629.947612517
41.999762 18 422 650.077108109
20.379415 19 426 661.976469706
19.432957 20 458 736.624653463
17.857839 21 472 757.01858378
12.651635 22 474 758.71087647
28.763969 23 491 782.474845234
26.256320 24 516 812.234459389
32.859928 25 525 834.352629027
17.094502 26 561 903.937068686
32.787776 27 608 1003.45445931
49.585414 28 623 1049.7616863
33.114927 29 644 1109.9533745
40.277054 30 673 1156.7194081
32.787498 31 683 1177.30041493
44.834134 32 710 1201.24218613
31.466570 33 736 1230.79226117
18.582561 34 745 1245.1770468
23.725227 35 767 1264.93151093
21.254323 36 770 1271.4499553
25.540531 37 785 1288.63755633
28.986330 38 799 1302.31684831
15.331179 39 803 1308.00477283
21.228999 40 828 1355.19649108
37.532060 41 863 1411.68163487
31.517873 42 899 1454.13254995
19.309664 43 910 1462.22307164
28.963216 44 930 1493.25186358
18.734129 45 949 1518.36082749
42.517731 46 966 1554.54042515
38.457894 47 976 1576.58406343
22.085384 48 1017 1657.26839885
19.437358 49 1036 1687.64515528
18.873316 50 1055 1706.70928853
26.704711 51 1059 1723.89804663
58.644647 52 1072 1756.54269407
26.580844 53 1078 1770.93252583
23.245777 54 1141 1867.00015774
38.099196 55 1145 1885.12155409
23.199171 56 1160 1904.27114525
40.664635 57 1176 1934.09084442
32.486673 58 1179 1947.91071397
30.387386 59 1200 1984.80221585
34.638868 60 1205 1998.97921674
26.515800 61 1207 2005.49501684
30.670517 62 1252 2086.8037163
25.344003 63 1281 2127.60163227
17.005563 64 1286 2130.04281102
19.193074 65 1288 2135.23588534
26.063567 66 1308 2154.62815502
34.048630 67 1328 2194.6295472
31.122477 68 1330 2202.59136494
21.066294 69 1340 2225.43250938
41.157167 70 1345 2230.36621512
34.825848 71 1374 2283.28225451
20.051961 72 1406 2330.87524513
29.295613 73 1410 2340.17085786
23.268745 74 1482 2504.55682566
14.703913 75 1505 2532.7659776
32.395327 76 1511 2536.97460986
22.689766 77 1529 2576.70634745
22.164359 78 1531 2584.8707068
17.173865 79 1546 2605.11093299
30.521600 80 1579 2647.94541782
29.434843 81 1610 2691.67494211
20.579395 82 1620 2702.93728391
24.949749 83 1655 2742.70145901
19.173352 84 1682 2790.08109899
22.277127 85 1692 2807.84081948
13.319052 86 1711 2840.71075804
22.998796 87 1715 2843.57969588
20.578791 88 1729 2862.54112479
32.365758 89 1730 2864.96233391
20.588705 90 1739 2879.7349877
21.350266 91 1748 2914.75325476
12.925606 92 1769 2938.81773926
65.645598 93 1837 3095.23598106
25.101862 94 1849 3108.26667166
25.072800 95 1879 3141.04358667
32.455463 96 1888 3156.63929016
10.718457 97 1922 3218.77876005
21.475147 98 1967 3261.63423459
17.240556 99 1974 3269.54065503
24.713605 100 1975 3270.42963852
37.851593 101 1988 3290.39224833
35.449679 102 2027 3336.70953619
24.276598 103 2054 3367.10721408
18.013151 104 2072 3389.89184975
32.954711 105 2073 3389.97673983
30.816489 106 2079 3406.70833892
25.659797 107 2084 3410.12903529
23.323482 108 2092 3426.41623725
27.506919 109 2107 3443.77840775
16.214172 110 2114 3455.17503856
35.383280 111 2126 3498.28046573
35.854651 112 2137 3517.1351168
26.230304 113 2144 3531.34590084
18.407618 114 2172 3581.53222843
20.367138 115 2173 3583.12461006
41.785643 116 2187 3606.31787149
22.968893 117 2241 3679.01722448
24.514426 118 2294 3741.54280151
30.687063 119 2318 3764.26311131
24.293849 120 2325 3767.94680428
10.926330 121 2328 3771.16142081
15.752317 122 2337 3781.9137376
19.850903 123 2351 3805.84979931
33.000000 124 2393 3920.67724488
29.851236 125 2394 3921.67724488
519.793528 126 2809 6650.64259285
2363.827786 127 2810 6653.64259285
1449.649827 128 2866 6875.06417818
2130.934584 129 2872 6878.78704654
435.887654 130 2875 6879.98729262
933.624000 131 2876 6880.06417818
1640.220277 132 2877 6880.83865696
785.302985 133 2884 6885.06417818
