#data counter step time
31.835482 1 257 168.691759096
37.060335 2 300 199.691759096
37.396241 3 324 211.756055109
37.156699 4 386 263.08151409
34.000000 5 504 335.969422272
41.347116 6 536 358.706039918
31.052154 7 564 384.328233597
56.570201 8 600 406.706039918
70.254882 9 668 444.328233597
40.284767 10 677 449.247948475
44.281890 11 726 481.328233597
93.999819 12 802 528.840723654
81.756164 13 927 596.247948475
130.589384 14 934 599.840723654
60.094367 15 971 620.328233597
131.743929 16 985 630.247948475
84.847380 17 988 631.840723654
82.146518 18 995 642.706039918
161.448373 19 997 642.840723654
78.325080 20 1007 650.247948475
183.950205 21 1018 657.840723654
187.547362 22 1059 680.840723654
65.619436 23 1065 681.840723654
217.897754 24 1077 692.706039918
121.641257 25 1081 694.840723654
254.451284 26 1103 714.328233597
109.856621 27 1108 714.840723654
235.207816 28 1110 716.840723654
70.970063 29 1115 723.840723654
112.279232 30 1119 725.840723654
93.197550 31 1130 731.706039918
287.450793 32 1165 754.706039918
116.476982 33 1175 761.840723654
286.318833 34 1180 765.840723654
221.938712 35 1182 766.328233597
49.120384 36 1216 783.328233597
103.851285 37 1240 795.840723654
130.060943 38 1250 800.328233597
93.331334 39 1284 821.706039918
307.112875 40 1285 822.840723654
275.573265 41 1303 831.840723654
315.632379 42 1370 879.328233597
121.241750 43 1374 880.328233597
50.811996 44 1376 880.706039918
277.527642 45 1384 890.328233597
99.703753 46 1390 893.328233597
76.789640 47 1396 897.706039918
240.211952 48 1400 900.328233597
72.271111 49 1405 901.328233597
119.478509 50 1425 911.328233597
85.606902 51 1446 922.840723654
97.732271 52 1491 949.328233597
175.839971 53 1502 955.328233597
165.295916 54 1519 968.706039918
437.081391 55 1550 984.840723654
182.397918 56 1604 1018.3282336
191.270572 57 1605 1019.3282336
126.278162 58 1613 1024.3282336
267.567201 59 1622 1033.3282336
444.357282 60 1639 1045.3282336
464.213952 61 1644 1050.3282336
165.187650 62 1647 1050.3282336
79.893239 63 1656 1058.3282336
105.460013 64 1659 1062.3282336
272.111371 65 1662 1064.3282336
48.386182 66 1665 1069.3282336
181.998551 67 1669 1073.3282336
92.779004 68 1674 1078.3282336
121.659933 69 1682 1084.3282336
332.953603 70 1708 1098.3282336
158.693180 71 1732 1109.3282336
147.289177 72 1755 1121.3282336
276.474714 73 1766 1130.3282336
282.838319 74 1770 1132.3282336
158.200499 75 1784 1140.3282336
118.663593 76 1799 1153.3282336
240.294851 77 1800 1153.3282336
437.100864 78 1807 1160.3282336
197.583026 79 1820 1170.3282336
121.891019 80 1828 1174.3282336
296.218757 81 1843 1184.3282336
132.348080 82 1855 1192.3282336
235.131025 83 1869 1201.3282336
122.014379 84 1901 1218.3282336
358.946183 85 1910 1221.3282336
117.409972 86 1934 1238.3282336
564.258267 87 1940 1244.3282336
665.564211 88 1951 1250.3282336
62.973770 89 1952 1250.3282336
310.060098 90 1958 1255.3282336
293.972870 91 1966 1258.3282336
61.122603 92 2026 1296.3282336
314.939977 93 2035 1302.3282336
294.376143 94 2039 1305.3282336
211.347965 95 2071 1319.3282336
293.105189 96 2075 1321.3282336
457.102447 97 2093 1330.3282336
74.577177 98 2097 1331.3282336
101.066088 99 2119 1347.3282336
408.207606 100 2128 1354.3282336
447.550319 101 2149 1369.3282336
739.143226 102 2156 1371.3282336
50.887671 103 2169 1379.3282336
412.074560 104 2216 1407.3282336
162.661130 105 2228 1417.3282336
534.726749 106 2231 1419.3282336
693.890080 107 2246 1428.3282336
517.100547 108 2263 1436.3282336
123.622552 109 2288 1450.3282336
80.952619 110 2298 1456.3282336
60.074517 111 2301 1463.3282336
73.579302 112 2306 1469.3282336
103.504681 113 2309 1474.3282336
382.323000 114 2311 1476.3282336
155.830174 115 2330 1487.3282336
201.423028 116 2344 1492.3282336
340.518131 117 2369 1507.3282336
366.726487 118 2378 1512.3282336
175.149724 119 2379 1513.3282336
506.237085 120 2391 1521.3282336
394.464122 121 2410 1532.3282336
536.322243 122 2413 1533.3282336
318.247350 123 2425 1538.3282336
76.800390 124 2473 1564.3282336
446.091342 125 2476 1566.3282336
452.050316 126 2488 1574.3282336
266.357666 127 2494 1576.3282336
148.882101 128 2517 1588.3282336
227.740623 129 2547 1605.3282336
81.968863 130 2550 1606.3282336
55.057395 131 2553 1613.3282336
198.565853 132 2563 1619.3282336
72.604006 133 2572 1624.3282336
923.955515 134 2588 1634.3282336
131.327990 135 2593 1638.3282336
112.484703 136 2614 1655.3282336
82.472198 137 2628 1663.3282336
220.861289 138 2644 1672.3282336
54.459078 139 2665 1683.3282336
465.906517 140 2713 1708.3282336
383.391004 141 2720 1709.3282336
68.264296 142 2734 1722.3282336
60.286038 143 2740 1726.3282336
131.143487 144 2764 1739.3282336
588.557335 145 2798 1760.3282336
87.779420 146 2803 1762.3282336
166.038321 147 2807 1767.3282336
151.533727 148 2814 1773.3282336
263.421174 149 2819 1782.3282336
455.678866 150 2825 1786.3282336
369.010934 151 2828 1790.3282336
113.526411 152 2831 1791.3282336
290.862478 153 2834 1793.3282336
287.464911 154 2835 1793.3282336
252.354483 155 2857 1810.3282336
303.002904 156 2865 1814.3282336
418.013200 157 2902 1834.3282336
505.728029 158 2907 1835.3282336
360.957013 159 2932 1849.3282336
547.962790 160 2963 1868.3282336
271.983394 161 2991 1887.3282336
184.413158 162 3001 1891.3282336
267.641430 163 3007 1895.3282336
220.142570 164 3016 1901.3282336
121.277154 165 3020 1905.3282336
226.717918 166 3029 1911.3282336
385.159469 167 3050 1924.3282336
328.693173 168 3055 1928.3282336
193.768446 169 3067 1936.3282336
186.800005 170 3080 1945.3282336
422.808169 171 3095 1951.3282336
56.837079 172 3097 1953.3282336
230.647654 173 3122 1968.3282336
138.029351 174 3125 1973.3282336
225.821968 175 3130 1975.3282336
284.966698 176 3145 1985.3282336
238.687129 177 3154 1991.3282336
249.677150 178 3179 2005.3282336
238.150655 179 3207 2019.3282336
532.443106 180 3232 2040.3282336
105.046146 181 3234 2041.3282336
887.937537 182 3242 2046.3282336
