#data counter
129776.874271 1
231809.852690 2
288845.176909 3
123674.741026 4
152893.785815 5
131299.338117 6
191017.864021 7
92199.388028 8
109779.602435 9
163169.587421 10
152321.837558 11
156000.178358 12
137168.011915 13
132734.860746 14
453618.199205 15
105275.315971 16
173645.730281 17
201519.353835 18
117617.856147 19
307259.589745 20
144592.483310 21
308963.811040 22
103939.541385 23
263892.890490 24
116659.435478 25
123238.653811 26
249896.180852 27
112598.928137 28
432813.422733 29
209286.990377 30
