#data counter step time
0 1 0 0.0
1 2 2 0.0
2 3 13 5.76371854644
3 4 16 14.7606870938
2 5 18 16.7637185464
3 6 19 20.9260646503
4 7 21 25.1477361365
5 8 27 31.7491642266
4 9 31 34.7606870938
5 10 33 35.3166290656
6 11 34 41.4072377245
5 12 36 42.1477361365
4 13 37 43.9260646503
5 14 38 43.978640907
4 15 45 52.4072377245
5 16 48 56.141517679
6 17 50 57.2617257796
5 18 52 57.7491642266
4 19 53 57.978640907
3 20 58 63.7491642266
2 21 59 64.141517679
1 22 60 65.2617257796
2 23 62 65.3186067823
3 24 63 70.9302276531
4 25 65 75.3343927646
5 26 68 76.2323542712
6 27 69 77.082079173
5 28 78 85.3186067823
4 29 79 86.3343927646
3 30 82 87.9302276531
2 31 83 89.3343927646
3 32 84 93.4240671566
2 33 86 97.082079173
3 34 88 103.343836873
4 35 92 105.230250205
5 36 94 107.337401863
6 37 96 109.795551286
5 38 98 110.424067157
4 39 99 110.424067157
5 40 103 116.711384626
6 41 106 117.078969427
7 42 112 119.015768957
8 43 113 121.314212081
7 44 115 123.795551286
6 45 116 124.337401863
5 46 117 125.230250205
6 47 123 129.875911195
7 48 125 130.164526362
6 49 129 133.337401863
5 50 132 134.078969427
4 51 133 135.314212081
5 52 134 136.667262856
4 53 136 138.164526362
5 54 137 139.090973656
4 55 139 140.078969427
5 56 142 145.779041688
6 57 144 145.978037496
5 58 148 146.875911195
4 59 149 153.667262856
3 60 150 156.090973656
4 61 151 158.350954115
3 62 157 162.978037496
4 63 158 164.328157375
5 64 162 172.965888021
4 65 166 174.779041688
3 66 167 175.350954115
2 67 170 187.328157375
3 68 171 187.394704458
4 69 173 188.869711507
5 70 175 189.529079615
4 71 177 189.965888021
5 72 181 191.422513356
6 73 187 196.804365156
5 74 189 198.394704458
4 75 190 200.529079615
5 76 191 205.288548806
4 77 193 205.869711507
3 78 196 209.529079615
4 79 197 210.611599017
3 80 199 210.804365156
4 81 201 213.657179169
5 82 202 215.027783924
6 83 204 217.462636321
7 84 207 218.024487539
6 85 216 227.611599017
5 86 219 231.288548806
4 87 220 231.288548806
3 88 221 234.288548806
4 89 222 235.88510854
5 90 224 236.875410187
4 91 226 237.462636321
3 92 227 238.027783924
4 93 228 239.372237827
3 94 232 246.88510854
4 95 233 246.948376669
3 96 239 251.948376669
2 97 242 256.875410187
3 98 243 266.098320705
2 99 245 268.372237827
3 100 248 275.398239968
2 101 250 277.098320705
3 102 251 281.714446885
4 103 253 286.838699174
5 104 259 294.390549532
6 105 265 296.231983266
5 106 267 298.398239968
4 107 268 298.714446885
3 108 271 300.838699174
2 109 272 302.390549532
3 110 273 308.489719197
2 111 275 310.231983266
3 112 276 314.891729876
2 113 282 325.489719197
3 114 283 327.614577081
2 115 285 328.891729876
3 116 286 332.464095231
4 117 289 334.425485244
5 118 293 337.908597377
6 119 299 343.546593006
7 120 301 343.94634314
6 121 303 344.614577081
7 122 304 347.920926804
6 123 308 350.614577081
7 124 309 351.187353188
8 125 310 351.794970069
9 126 311 352.802368644
10 127 313 354.809443191
9 128 316 354.908597377
8 129 319 357.546593006
7 130 321 358.464095231
8 131 325 361.47942619
7 132 330 362.908597377
8 133 331 363.751021374
7 134 333 363.94634314
6 135 334 365.908597377
5 136 339 367.920926804
4 137 340 367.920926804
3 138 343 371.751021374
2 139 344 374.546593006
1 140 345 375.47942619
2 141 346 375.824754115
3 142 348 380.605332567
2 143 354 392.824754115
1 144 355 397.605332567
2 145 356 402.879511922
3 146 358 403.661469225
4 147 362 407.149551415
3 148 366 413.879511922
2 149 369 420.661469225
1 150 370 430.149551415
2 151 371 433.131983412
3 152 373 434.779595504
4 153 375 435.337960812
3 154 381 448.779595504
4 155 382 449.965281298
5 156 384 451.031655391
4 157 388 459.131983412
3 158 393 464.337960812
2 159 394 474.031655391
1 160 395 478.965281298
2 161 396 480.832819979
3 162 398 483.344114771
4 163 402 490.397886627
5 164 404 490.75232351
4 165 406 491.832819979
3 166 409 497.344114771
2 167 414 504.75232351
1 168 415 513.397886627
2 169 416 541.447318488
3 170 418 543.852832762
4 171 424 554.557902502
3 172 426 554.852832762
4 173 427 555.688109851
3 174 433 560.688109851
2 175 434 561.447318488
1 176 435 568.557902502
2 177 436 571.457555471
1 178 440 585.457555471
2 179 441 594.532565117
3 180 443 596.522573244
2 181 447 604.522573244
3 182 450 609.735145679
2 183 452 611.532565117
3 184 455 624.636727394
4 185 457 625.386040498
3 186 459 626.735145679
4 187 462 628.379986574
5 188 468 635.511064198
6 189 470 638.228568789
5 190 472 641.636727394
4 191 476 647.636727394
3 192 477 648.386040498
2 193 478 649.511064198
3 194 479 649.676350122
4 195 481 649.697864902
5 196 487 664.097662169
4 197 489 664.228568789
3 198 492 666.697864902
2 199 495 669.676350122
3 200 496 672.868314886
2 201 498 684.097662169
3 202 499 684.98715415
4 203 501 685.788090765
3 204 505 692.868314886
4 205 508 694.107324927
5 206 514 698.3325767
6 207 516 701.847442393
5 208 518 701.98715415
4 209 519 701.98715415
3 210 523 708.788090765
4 211 524 713.303884517
3 212 528 718.3325767
2 213 531 724.98715415
1 214 533 727.303884517
2 215 535 731.669461538
1 216 539 742.669461538
2 217 541 764.702395824
3 218 545 770.502194806
2 219 547 772.702395824
1 220 550 783.702395824
2 221 551 787.9225437
3 222 555 797.183269958
4 223 556 797.200696898
3 224 557 801.9225437
4 225 559 804.405236176
5 226 562 809.819338628
4 227 564 809.9225437
5 228 567 823.179642655
4 229 568 826.9225437
5 230 572 838.847396377
4 231 574 843.9225437
5 232 575 844.102688448
6 233 576 845.432580121
5 234 584 854.9225437
6 235 585 856.78036071
7 236 587 858.525689773
8 237 592 861.657933636
9 238 595 863.890118122
10 239 596 865.32780039
9 240 597 865.9225437
8 241 598 865.9225437
7 242 600 868.9225437
6 243 602 873.735145679
7 244 603 874.776998667
8 245 605 874.980533346
7 246 611 879.9225437
6 247 612 882.9225437
7 248 618 889.836430626
6 249 620 890.735145679
5 250 621 893.9225437
4 251 624 896.9225437
5 252 626 897.224221217
6 253 627 899.344776021
5 254 629 904.735145679
4 255 637 910.9225437
5 256 638 911.28508829
4 257 639 915.735145679
5 258 645 920.485841768
6 259 646 920.958727136
7 260 649 923.762884561
6 261 650 923.868314886
5 262 653 924.9225437
4 263 658 932.735145679
5 264 660 933.894725695
6 265 661 937.110295627
5 266 662 938.9225437
6 267 664 940.994504859
7 268 665 943.127576326
6 269 667 943.868314886
7 270 676 950.974899899
8 271 677 951.979007324
9 272 678 953.097582373
8 273 682 954.868314886
9 274 683 954.877878292
8 275 686 958.9225437
7 276 689 961.735145679
6 277 695 963.98715415
7 278 696 965.536390062
6 279 698 968.868314886
7 280 700 969.428644523
6 281 701 969.9225437
5 282 702 972.9225437
6 283 708 975.059966003
5 284 713 980.98715415
4 285 715 984.735145679
3 286 716 985.868314886
2 287 717 985.868314886
3 288 719 987.227558116
4 289 720 987.776958213
5 290 722 989.126341924
4 291 727 994.98715415
3 292 732 1000.98715415
4 293 733 1001.87899367
3 294 735 1003.12634192
4 295 736 1009.61160305
5 296 739 1010.8634792
4 297 745 1013.77695821
5 298 746 1014.38368028
4 299 748 1015.87899367
3 300 749 1017.61160305
2 301 752 1018.87899367
1 302 753 1022.38368028
2 303 754 1023.31593391
3 304 756 1023.37585742
4 305 760 1030.37847087
5 306 762 1031.06820481
6 307 765 1031.95166484
7 308 768 1034.06403078
6 309 770 1034.37585742
5 310 774 1043.31593391
4 311 776 1044.37847087
5 312 779 1046.948993
4 313 783 1051.37585742
3 314 784 1052.37847087
4 315 785 1054.45672683
5 316 787 1056.57162042
4 317 789 1057.31593391
5 318 792 1060.94026259
4 319 799 1068.37585742
5 320 802 1072.56615781
4 321 806 1074.45672683
3 322 807 1078.73514568
2 323 808 1080.31593391
1 324 809 1083.56615781
2 325 810 1085.69892838
3 326 812 1099.10459684
4 327 816 1101.92381261
3 328 818 1105.69892838
4 329 821 1108.18842061
3 330 827 1113.10459684
2 331 828 1118.92381261
1 332 829 1119.18842061
2 333 830 1124.76102991
3 334 832 1127.99551629
4 335 836 1137.64064084
3 336 838 1138.76102991
4 337 839 1139.53080748
5 338 841 1142.65479294
6 339 849 1144.9987697
7 340 852 1149.62058633
6 341 854 1153.53080748
5 342 856 1153.65479294
4 343 857 1153.99551629
5 344 858 1154.5656299
4 345 860 1157.64064084
5 346 861 1161.12986123
6 347 867 1165.52394942
5 348 868 1165.5656299
6 349 870 1165.63044664
7 350 871 1165.883685
8 351 877 1169.25004909
7 352 881 1173.53080748
6 353 884 1176.5656299
5 354 887 1181.12986123
4 355 888 1182.65479294
5 356 891 1185.13198775
4 357 893 1188.65479294
3 358 894 1190.53080748
4 359 895 1190.60806605
3 360 897 1193.5656299
2 361 902 1202.13198775
3 362 903 1202.81629702
2 363 905 1204.60806605
3 364 906 1209.14473323
4 365 912 1213.45619704
3 366 914 1217.14473323
2 367 917 1219.81629702
3 368 918 1223.53827754
2 369 920 1227.45619704
3 370 923 1233.2321912
4 371 925 1234.32084522
3 372 927 1234.53827754
4 373 930 1240.05259978
5 374 936 1248.99113002
6 375 938 1250.14298118
5 376 939 1251.05259978
4 377 941 1251.32084522
3 378 944 1253.2321912
4 379 945 1258.13761534
5 380 949 1261.98084773
4 381 953 1262.99113002
5 382 954 1267.01848481
4 383 956 1268.05259978
3 384 961 1275.13761534
2 385 962 1275.98084773
3 386 963 1282.14155789
4 387 965 1283.80636431
3 388 969 1290.01848481
4 389 972 1293.52646111
3 390 976 1297.80636431
2 391 977 1299.14155789
3 392 979 1299.26093692
2 393 981 1304.52646111
3 394 982 1306.06364725
4 395 984 1306.85506126
5 396 992 1311.49930844
4 397 994 1319.26093692
5 398 995 1319.61115068
4 399 1000 1323.06364725
5 400 1003 1331.06897452
4 401 1005 1332.85506126
3 402 1006 1332.85506126
4 403 1007 1336.60587062
3 404 1009 1336.61115068
2 405 1012 1342.06897452
3 406 1015 1352.48565909
4 407 1017 1352.85983056
3 408 1023 1363.85983056
2 409 1024 1365.60587062
1 410 1025 1366.48565909
2 411 1027 1367.29256879
3 412 1029 1370.06796023
4 413 1031 1371.5254748
3 414 1039 1378.29256879
2 415 1040 1379.5254748
1 416 1041 1381.06796023
2 417 1043 1383.74024092
3 418 1045 1385.76105451
4 419 1048 1386.82927367
3 420 1054 1396.76105451
2 421 1055 1403.74024092
1 422 1056 1403.74024092
2 423 1058 1405.15356834
