#data counter step time
33.077178 1 90 122.937498937
27.593456 2 241 290.762143872
27.093016 3 548 660.631353345
125.246012 4 580 797.245243489
81.948430 5 591 820.245243489
163.836542 6 592 820.245243489
139.049701 7 593 820.245243489
62.686166 8 599 831.245243489
144.700230 9 605 845.245243489
148.109823 10 606 845.245243489
149.721193 11 612 856.245243489
63.648767 12 620 862.245243489
164.253712 13 626 867.245243489
138.483626 14 650 880.820537348
87.323419 15 651 881.245243489
125.149585 16 652 881.245243489
67.084060 17 658 886.820537348
203.741529 18 659 886.820537348
207.346547 19 676 898.245243489
102.972045 20 682 900.066263756
82.559522 21 683 900.066263756
31.219482 22 686 900.820537348
92.284740 23 690 906.245243489
123.807662 24 698 909.245243489
122.651564 25 699 909.245243489
65.929323 26 702 914.820537348
47.210472 27 707 917.245243489
113.215538 28 716 923.820537348
65.379679 29 730 940.245243489
25.890499 30 732 940.820537348
191.600621 31 738 943.245243489
92.971434 32 742 951.245243489
26.465891 33 746 954.245243489
126.874569 34 749 957.066263756
197.061523 35 754 966.820537348
49.551405 36 757 968.245243489
60.340229 37 767 980.820537348
86.216813 38 768 985.245243489
52.521735 39 774 994.066263756
25.425077 40 802 1025.24524349
29.692565 41 803 1026.82053735
25.280010 42 954 1180.22985597
31.578764 43 991 1264.79499697
29.323249 44 1107 1437.06572835
27.139118 45 1146 1481.53905105
28.976131 46 1242 1604.10966262
27.008059 47 1345 1698.5122457
58.116934 48 1354 1705.70319068
27.549091 49 1414 1825.75278839
26.504862 50 1487 1918.05192642
43.416610 51 1494 1949.42072006
32.719281 52 1574 2041.69109137
25.466842 53 1650 2160.72594893
30.733716 54 1770 2286.13689186
38.099959 55 1794 2320.39066045
41.941531 56 1996 2665.69764753
32.852079 57 2012 2701.27751437
41.227027 58 2172 2879.24416593
75.359861 59 2434 3158.9863746
41.355905 60 2487 3222.71766421
62.237051 61 2495 3230.50117348
29.520438 62 2506 3244.50117348
79.989287 63 2513 3250.71766421
43.087493 64 2521 3259.88083884
36.988789 65 2581 3324.58075527
41.816477 66 2629 3406.89380435
45.618015 67 2637 3416.41632804
45.211284 68 2638 3417.89380435
46.086569 69 2640 3419.41632804
48.595479 70 2647 3428.89380435
41.342787 71 2675 3486.52196892
25.324384 72 2869 3702.46671032
28.711473 73 2904 3743.31631295
33.284810 74 2977 3851.26141455
35.302039 75 3076 4000.74903306
50.388345 76 3091 4018.67153772
26.178295 77 3108 4035.67153772
26.356561 78 3138 4067.34840705
46.623871 79 3171 4124.89436727
28.343949 80 3203 4161.46276582
25.872815 81 3225 4180.38427933
30.677312 82 3236 4202.56966326
29.414207 83 3259 4235.36125062
43.000000 84 3300 4297.3673588
48.851516 85 3329 4344.44182418
52.832907 86 3418 4479.452377
41.267510 87 3419 4484.72138595
34.972429 88 3493 4574.79936974
44.672556 89 3497 4585.79936974
40.737346 90 3566 4667.5777042
54.031492 91 3574 4675.5777042
52.880281 92 3575 4675.5777042
77.801823 93 3583 4682.79936974
29.660428 94 3593 4689.5777042
65.959576 95 3599 4696.79936974
66.308344 96 3601 4700.5777042
39.300635 97 3616 4710.79936974
83.070052 98 3622 4720.5777042
40.246049 99 3626 4723.5777042
75.297502 100 3632 4727.79936974
80.473892 101 3636 4734.5777042
42.902420 102 3644 4741.79936974
65.784391 103 3657 4755.79936974
51.482514 104 3661 4762.5777042
79.476285 105 3696 4850.79936974
79.187990 106 3737 4896.7724774
112.033859 107 3746 4901.79936974
47.247424 108 3771 4924.7724774
43.350861 109 3777 4932.79936974
115.523435 110 3784 4939.37662727
97.326277 111 3789 4941.7724774
25.839166 112 3977 5191.72947254
50.280835 113 4031 5293.30190769
26.542723 114 4036 5299.84463081
32.325976 115 4066 5337.08841522
27.422603 116 4221 5502.90173075
32.172583 117 4260 5562.34756388
40.457234 118 4310 5648.75095216
39.172554 119 4320 5662.10009808
26.715833 120 4353 5708.29176289
29.236639 121 4362 5720.67957225
34.378117 122 4373 5731.67957225
39.181100 123 4380 5742.44293343
25.073028 124 4457 5883.57985099
33.374953 125 4605 6094.23945707
43.664613 126 4620 6131.53086209
45.993532 127 4693 6306.45133274
27.201219 128 4706 6342.80047669
35.018899 129 4822 6452.02135388
34.197126 130 4860 6518.58925348
42.991261 131 4882 6553.92744501
25.636695 132 4907 6617.5295852
28.192824 133 4937 6651.99139171
33.440439 134 4946 6667.34824519
41.002962 135 5002 6749.92057348
40.928171 136 5044 6805.7381404
