#data counter
464503.340675 1
282849.225021 2
161059.954205 3
156008.365273 4
680898.269904 5
512816.753033 6
220367.640462 7
300063.186225 8
224554.368486 9
656520.790129 10
588476.481803 11
410432.785833 12
153830.816718 13
402439.635095 14
593012.807555 15
424328.636480 16
162817.113160 17
669230.572149 18
278765.848141 19
372729.264803 20
324879.642369 21
344836.158622 22
318516.302614 23
324984.986123 24
321008.395419 25
828592.864653 26
600342.943690 27
198561.007273 28
368944.331469 29
815339.165427 30
