#data counter
1181839.655140 1
434543.915862 2
340351.451807 3
1708963.523040 4
1794260.756600 5
665818.249123 6
1070437.492533 7
1586169.858572 8
1797026.669995 9
896512.496233 10
650527.316156 11
2798519.211995 12
958762.852224 13
1636701.872105 14
1210830.440632 15
2559893.485225 16
1490202.878496 17
665892.595256 18
322980.244452 19
1526068.301388 20
864545.171707 21
1076657.278285 22
553458.723591 23
960916.643233 24
1031131.598575 25
832507.009829 26
124711.447421 27
2002423.085491 28
404231.156571 29
1557343.259327 30
