#data counter step time
23.493583 1 28 42.7460482111
23.049853 2 61 65.9427231269
48.066592 3 122 166.505676549
31.167765 4 129 174.673441854
40.123559 5 145 198.505676549
44.843062 6 152 203.846269141
31.714283 7 186 224.836112556
24.894219 8 187 225.61851391
29.782401 9 188 225.61851391
29.968252 10 209 242.61851391
24.427792 11 216 251.508236654
34.324252 12 236 274.86810086
42.651888 13 264 316.087644175
22.081734 14 265 318.169378129
24.301905 15 269 322.471282817
18.558665 16 284 345.030208811
33.521853 17 293 364.552062266
20.073322 18 300 369.704909214
34.358363 19 314 384.063271727
22.268955 20 350 427.34982304
27.870079 21 421 518.651050389
28.999997 22 448 548.554978107
13.436511 23 469 579.136258491
25.733619 24 488 599.929862993
31.625755 25 495 611.555618259
34.374245 26 497 622.929862993
18.142301 27 526 652.929862993
31.965720 28 536 675.929862993
36.571479 29 591 797.929862993
27.513114 30 606 812.196244354
48.864375 31 609 813.554978107
33.222215 32 623 825.929862993
33.589599 33 629 827.136258491
12.041764 34 632 835.045687838
23.504032 35 668 894.404868644
33.122082 36 696 927.789661587
29.145608 37 700 936.195504001
30.202342 38 703 950.053988603
14.000000 39 715 964.949232984
33.945246 40 723 989.411054902
24.131372 41 766 1027.99644138
20.000000 42 772 1034.83139706
27.396383 43 835 1117.39956066
27.542493 44 839 1127.43928715
23.746904 45 841 1128.18619141
21.335776 46 892 1207.52354132
32.718525 47 1007 1333.57283542
24.170766 48 1010 1335.73668368
34.719349 49 1014 1339.92914497
39.288675 50 1033 1367.73668368
41.997558 51 1050 1396.73668368
45.210692 52 1052 1403.57283542
62.522894 53 1071 1426.57283542
12.523240 54 1073 1427.73668368
56.466857 55 1090 1452.57283542
60.074292 56 1105 1467.73668368
35.127903 57 1130 1495.73668368
41.331622 58 1150 1515.57283542
47.057109 59 1221 1565.8011371
29.777453 60 1277 1621.64736909
46.527235 61 1290 1648.11102632
38.998766 62 1323 1682.11870875
27.672666 63 1332 1696.11102632
46.617728 64 1361 1727.11102632
71.742978 65 1387 1750.11102632
40.859024 66 1440 1792.11102632
39.992884 67 1453 1804.11102632
45.881561 68 1454 1815.89202043
31.891196 69 1455 1818.11102632
23.862328 70 1474 1859.91834224
27.026099 71 1541 1985.47591768
33.629096 72 1576 2044.36589827
18.554989 73 1623 2103.6739586
16.091544 74 1624 2103.6739586
38.445011 75 1642 2125.11896922
49.282184 76 1656 2143.18220141
35.599011 77 1657 2146.6739586
26.420766 78 1692 2179.54856521
30.466915 79 1708 2204.49904413
33.086874 80 1718 2214.58591795
33.491031 81 1737 2243.58591795
31.026392 82 1738 2245.08791081
42.043535 83 1742 2261.37041029
21.510843 84 1770 2295.97320225
51.199958 85 1788 2338.39974881
30.755192 86 1832 2386.59504215
30.212101 87 1874 2420.26056499
36.420966 88 1899 2453.77259787
47.732378 89 1905 2469.50497558
25.335364 90 1940 2521.06602081
31.938979 91 1941 2528.29490674
19.893675 92 1966 2570.57507266
33.558859 93 1975 2592.5884771
20.502294 94 1994 2611.9624591
23.562925 95 1995 2614.46016506
39.801397 96 2049 2677.52897251
16.493622 97 2071 2697.52897251
11.000000 98 2090 2717.9785547
28.277099 99 2100 2729.9785547
27.585267 100 2101 2735.31327596
17.331647 101 2102 2735.31327596
22.668353 102 2103 2737.98162854
36.860620 103 2142 2825.87182595
24.179218 104 2169 2863.01120575
62.158924 105 2185 2902.11738654
22.517973 106 2251 2966.1457174
64.353172 107 2258 3014.57692755
27.008493 108 2276 3045.8683062
22.303967 109 2277 3051.17227295
50.616717 110 2309 3122.98003722
21.577274 111 2317 3136.01120575
22.748008 112 2338 3156.40107142
29.961295 113 2382 3215.22595575
27.618063 114 2386 3233.99572412
25.043825 115 2420 3297.544668
32.798029 116 2431 3307.34269706
34.418829 117 2467 3330.34269706
29.403712 118 2503 3365.544668
17.012859 119 2525 3385.04603688
21.718723 120 2528 3389.76476031
32.130170 121 2536 3401.8949307
26.735520 122 2539 3408.63045055
32.413164 123 2583 3452.34675773
36.331715 124 2589 3456.94433138
18.064240 125 2608 3473.72307958
26.517723 126 2613 3478.24080297
23.863768 127 2615 3485.72307958
30.425667 128 2649 3540.60392548
48.799032 129 2686 3584.34269706
35.411501 130 2710 3613.34269706
84.188139 131 2726 3625.60392548
107.284980 132 2727 3627.88890519
47.468007 133 2732 3637.60392548
79.536061 134 2737 3639.34269706
85.133916 135 2739 3645.60392548
87.231667 136 2745 3650.88890519
101.606587 137 2770 3673.60392548
60.344383 138 2773 3673.88890519
51.407120 139 2776 3676.34269706
21.337628 140 2779 3679.60392548
25.812021 141 2788 3685.60392548
61.377419 142 2803 3696.88890519
47.287894 143 2844 3730.60392548
25.161643 144 2885 3761.60392548
23.000000 145 2909 3808.47609558
17.000000 146 2946 3868.65134884
28.181919 147 2953 3874.65134884
24.828126 148 2993 3921.38287108
42.970325 149 3005 3948.38250729
30.942312 150 3012 3959.3248192
