#data counter step time
0 1 0 0.0
1 2 2 0.0
2 3 5 36.497160288
3 4 8 42.6277162802
2 5 10 43.497160288
1 6 13 47.497160288
2 7 15 48.33425155
3 8 20 58.9327680658
2 9 23 65.497160288
3 10 25 65.7341798035
4 11 34 83.6628203991
3 12 36 92.497160288
4 13 37 102.959518968
5 14 41 109.8307734
6 15 42 110.433354925
7 16 47 116.558133634
6 17 56 124.497160288
7 18 57 126.30193984
6 19 58 130.497160288
7 20 59 130.826070397
8 21 62 138.680992881
9 22 63 138.98719946
10 23 70 150.991926544
9 24 76 160.497160288
10 25 77 162.037503557
9 26 83 162.497160288
8 27 88 166.497160288
7 28 89 169.497160288
6 29 91 169.497160288
7 30 92 169.555205036
8 31 93 173.185898331
9 32 94 175.461510011
10 33 95 175.536455984
11 34 102 196.305903236
12 35 109 206.94296874
13 36 112 211.087178058
14 37 115 216.381790303
13 38 117 216.497160288
14 39 118 216.837842566
13 40 126 231.497160288
14 41 127 236.162760777
15 42 130 242.409438051
16 43 131 244.196262231
15 44 133 245.497160288
16 45 134 247.031681838
15 46 137 248.497160288
16 47 139 249.064228731
17 48 145 264.340260584
16 49 153 275.497160288
15 50 155 278.497160288
16 51 156 281.057329946
17 52 157 287.195840781
18 53 158 292.707577828
19 54 160 294.507794667
20 55 161 294.855387253
21 56 166 303.076632497
22 57 182 321.159956499
21 58 184 323.497160288
20 59 185 323.497160288
19 60 186 323.497160288
20 61 187 324.055585491
19 62 188 332.497160288
20 63 190 333.062812087
21 64 192 335.600489007
22 65 193 335.975368125
23 66 197 341.516076276
24 67 198 342.148754037
25 68 201 346.123025684
26 69 213 366.662112394
27 70 217 369.133937544
28 71 219 372.440185071
29 72 224 374.390636483
28 73 225 375.497160288
27 74 227 381.497160288
26 75 228 381.497160288
27 76 229 390.745570721
28 77 231 396.933680629
29 78 232 398.018992108
30 79 235 401.973878913
31 80 236 402.279729722
30 81 257 425.497160288
29 82 262 428.497160288
30 83 263 428.738414186
31 84 264 429.304645392
30 85 266 429.497160288
31 86 267 429.512776724
32 87 268 430.020525272
31 88 271 434.497160288
30 89 272 435.497160288
31 90 274 436.594444167
30 91 275 438.497160288
31 92 279 442.689601452
32 93 288 459.163107887
33 94 290 461.302332166
32 95 306 474.497160288
33 96 307 477.496670449
32 97 308 477.497160288
31 98 310 477.497160288
32 99 315 478.218839018
31 100 317 480.497160288
32 101 318 481.099735384
31 102 320 483.497160288
30 103 321 483.497160288
29 104 323 486.497160288
28 105 324 489.497160288
29 106 325 489.737983563
30 107 326 491.590503186
29 108 330 492.497160288
28 109 336 498.497160288
27 110 337 507.497160288
26 111 339 507.497160288
27 112 341 511.446819237
28 113 343 513.237484413
29 114 349 521.829068642
30 115 357 536.251292406
31 116 359 538.425381458
32 117 361 540.805240081
33 118 367 550.576106626
34 119 369 553.096907356
35 120 370 553.309776972
36 121 374 559.305934444
37 122 376 560.643664699
38 123 386 578.44710006
39 124 387 579.290378058
40 125 392 586.520164864
41 126 393 587.396952331
42 127 401 593.414808049
41 128 411 594.497160288
40 129 412 594.497160288
41 130 418 596.690984229
42 131 419 597.368346399
41 132 420 597.497160288
42 133 421 598.06628461
41 134 422 600.497160288
40 135 423 602.497160288
39 136 424 605.497160288
38 137 425 605.497160288
37 138 426 605.497160288
38 139 430 605.687855999
39 140 435 611.917599497
40 141 436 616.456144321
39 142 438 616.497160288
40 143 439 616.988161198
39 144 440 619.497160288
38 145 441 619.497160288
39 146 444 638.121192288
40 147 451 648.6161848
41 148 458 660.609541539
42 149 459 660.952037862
43 150 463 666.52194204
44 151 464 666.885803225
45 152 466 670.3816117
46 153 470 674.870983833
47 154 471 676.296050602
48 155 473 677.768342879
49 156 477 684.398519958
50 157 480 686.587839857
49 158 492 695.497160288
48 159 493 695.497160288
49 160 494 701.198541141
48 161 496 701.497160288
47 162 497 701.497160288
48 163 498 705.127125336
49 164 500 708.643882119
50 165 504 715.234301617
51 166 506 715.901306272
52 167 510 721.993487252
51 168 523 732.497160288
52 169 524 737.956418029
51 170 525 738.497160288
50 171 526 738.497160288
49 172 527 
