#data counter step time
5 1 0 0.0
4 2 2 0.0
3 3 3 0.0
2 4 4 0.0
1 5 6 0.0
0 6 8 0.0
1 7 14 0.0
2 8 16 0.0
3 9 17 0.0
4 10 19 0.0
5 11 21 0.0
4 12 31 192.036206702
5 13 34 192.036206702
4 14 35 194.060434108
5 15 40 194.060434108
4 16 42 194.114655545
5 17 45 194.114655545
4 18 46 198.823413675
5 19 55 198.823413675
4 20 56 198.903912553
5 21 59 198.903912553
4 22 60 390.807916578
5 23 63 390.807916578
4 24 64 397.428919044
5 25 67 397.428919044
4 26 68 399.620737508
5 27 71 399.620737508
4 28 72 406.341777503
5 29 78 406.341777503
4 30 79 409.155168109
5 31 82 409.155168109
4 32 83 576.213969581
5 33 86 576.213969581
4 34 87 595.818555903
5 35 92 595.818555903
4 36 94 598.661769933
5 37 97 598.661769933
4 38 98 598.698936447
5 39 108 598.698936447
4 40 111 611.635970413
5 41 114 611.635970413
4 42 115 771.712895909
5 43 118 771.712895909
4 44 119 793.455108064
5 45 122 793.455108064
4 46 123 794.239346436
5 47 129 794.239346436
4 48 130 796.473398525
5 49 136 796.473398525
4 50 137 804.783321322
5 51 140 804.783321322
4 52 141 963.260852704
5 53 144 963.260852704
4 54 145 987.456290386
5 55 148 987.456290386
4 56 149 995.446772678
5 57 152 995.446772678
4 58 153 997.992786307
5 59 156 997.992786307
4 60 157 1003.16840471
5 61 160 1003.16840471
4 62 161 1167.12211056
5 63 164 1167.12211056
4 64 165 1191.30855789
5 65 168 1191.30855789
4 66 169 1201.94079585
5 67 172 1201.94079585
4 68 173 1204.12192986
5 69 176 1204.12192986
4 70 177 1205.52326426
5 71 180 1205.52326426
4 72 181 1377.61777322
5 73 184 1377.61777322
4 74 185 1387.36255284
5 75 188 1387.36255284
4 76 189 1389.35860382
5 77 192 1389.35860382
4 78 193 1395.54689873
5 79 196 1395.54689873
4 80 197 1410.82396655
5 81 200 1410.82396655
4 82 201 1579.32501723
5 83 204 1579.32501723
4 84 205 1579.60113442
5 85 208 1579.60113442
